State,City,Suburb,DistanceToAvalon,DistanceToTullamarine,Attractions
Victoria,Geelong,Bendigo,125,150,"Bendigo Art Gallery, Rosalind Park"
Victoria,Geelong,Bentleigh East,200,230,"Bentleigh East Village, local parks"
Victoria,Geelong,Bentleigh,200,230,"Bentleigh Shopping Centre, local parks"
Victoria,Geelong,Berringa,75,130,"Berringa Reservoir"
Victoria,Geelong,Berwick,110,130,"Berwick Springs, local parks"
Victoria,Geelong,Black Rock,200,230,"Black Rock Beach, local parks"
Victoria,Geelong,Blackburn North,85,105,"Blackburn Creeklands, Blackburn High School"
Victoria,Geelong,Blackburn,80,95,"Blackburn Lake Sanctuary, Blackburn Village"
Victoria,Geelong,Blackwood,90,110,"Blackwood Forest, Wombat State Forest"
Victoria,Geelong,Blakeview,110,120,"Blakeview Golf Course, Greenwith Reserve"
Victoria,Geelong,Bonang,340,400,"Bonang River, local parks"
Victoria,Geelong,Bonbeach,230,260,"Bonbeach Beach, local parks"
Victoria,Geelong,Boneo,250,280,"Boneo Conservation Reserve, local parks"
Victoria,Geelong,Bonshaw,50,85,"Victoria Park, Ballarat Botanical Gardens"
Victoria,Geelong,Borrowdale,60,120,"Borrowdale National Park"
Victoria,Geelong,Box Hill,260,290,"Box Hill Central, local parks"
Victoria,Geelong,Braybrook,45,55,"Braybrook Park, Highpoint Shopping Centre"
Victoria,Geelong,Breakwater,10,60,"Breakwater Reserve, local shops"
Victoria,Geelong,Brighton,200,230,"Brighton Beach, local parks"
Victoria,Geelong,Broadmeadows,35,50,"Broadmeadows Valley Park, Broadmeadows Shopping Centre"
Victoria,Geelong,Broughton,70,140,"Grampians National Park"
Victoria,Geelong,Brown Hill,80,130,"Mount Buninyong, Brown Hill Reserve"
Victoria,Geelong,Brunswick East,80,85,"Brunswick East Village, local parks"
Victoria,Geelong,Brunswick West,80,85,"Brunswick Street, local parks"
Victoria,Geelong,Brunswick,130,160,"Brunswick Street, local parks"
Victoria,Geelong,Bruthen,300,360,"Bruthen Railway Station, local parks"
Victoria,Geelong,Bulleen,150,180,"Bulleen Plaza, local parks"
Victoria,Geelong,Bundoora,160,190,"Bundoora Park, local parks"
Victoria,Geelong,Buninyong,90,130,"Buninyong Botanical Gardens, Mount Buninyong"
Victoria,Geelong,Burnside,210,240,"Burnside Park, local shops"
Victoria,Geelong,Burwood,80,95,"Burwood Brickworks, Burwood Highway"
Victoria,Geelong,Cairnlea,25,45,"Cairnlea Park, Cairnlea Lake"
Victoria,Geelong,Camberwell,85,90,"Camberwell Junction, local parks"
Victoria,Geelong,Campbellfield,20,35,"Campbellfield Plaza, Campbellfield Shopping Centre"
Victoria,Geelong,Cape Woolamai,260,310,"Cape Woolamai, local parks"
Victoria,Geelong,Carey,170,200,"Carey Baptist Grammar, local parks"
Victoria,Geelong,Carlton,75,80,"Carlton Gardens, Melbourne Museum"
Victoria,Geelong,Carnegie,115,130,"Carnegie Shopping Centre, local parks"
Victoria,Geelong,Caroline Springs,30,45,"Caroline Springs Town Centre, Lake Caroline"
Victoria,Geelong,Carwoola,150,180,"Carwoola Creek, Murrumbateman"
Victoria,Geelong,Caulfield,120,135,"Caulfield Racecourse, local parks"
Victoria,Geelong,Ceres,18,78,"Ceres Community Environment Park, rural views"
Victoria,Geelong,Chadstone,80,90,"Chadstone Shopping Centre, Holmesglen College"
Victoria,Geelong,Charlemont,10,45,"Charlemont Public Park, Breamlea Beach"
Victoria,Geelong,Chelsea Heights,230,260,"Chelsea Heights Golf Club, local parks"
Victoria,Geelong,Chelsea,230,260,"Chelsea Beach, local parks"
Victoria,Geelong,Cheltenham,190,220,"Southland Shopping Centre, local parks"
Victoria,Geelong,Clarke Creek,55,120,"Clarke Creek Falls, Clarke Creek Reserve"
Victoria,Geelong,Clayton South,280,310,"Clayton South Village, local parks"
Victoria,Geelong,Clayton,210,240,"Monash University, local parks"
Victoria,Geelong,Clifton Springs,25,50,"Clifton Springs Golf Club, Bellarine Peninsula"
Victoria,Geelong,Cloverdale,22,80,"Cloverdale Park, local shops, rural area"
Victoria,Geelong,Clyde,50,110,"Clyde North Village, local vineyards, residential growth"
Victoria,Geelong,Coburg North,80,85,"Coburg North Shopping Centre, local parks"
Victoria,Geelong,Coburg,80,90,"Coburg Lake Reserve, local parks"
Victoria,Geelong,Colac East,80,160,"Lake Colac, local parks"
Victoria,Geelong,Colac West,80,160,"Lake Colac, local shops"
Victoria,Geelong,Colac,120,150,"Colac Botanic Gardens, Lake Colac"
Victoria,Geelong,Collingwood North,95,110,"Collingwood Market, Collingwood Town Hall"
Victoria,Geelong,Collingwood,130,155,"Collingwood Children's Farm, local cafes"
Victoria,Geelong,Connewarre,20,55,"Lake Connewarre, Connewarre Conservation Reserve"
Victoria,Geelong,Corinella,270,320,"Corinella Beach, local parks"
Victoria,Geelong,Corio Bay,20,60,"Corio Bay, beaches, coastal walking tracks"
Victoria,Geelong,Corio,10,40,"Corio Bay, Royal Geelong Yacht Club"
Victoria,Geelong,Corryong,380,450,"Corryong Wildlife Park, local parks"
Victoria,Geelong,Cragieburn,40,55,"Craigieburn Central, Craigieburn Grasslands"
Victoria,Geelong,Craigieburn,35,45,"Craigieburn Central Shopping Centre, Craigieburn Grasslands"
Victoria,Geelong,Cranbourne,65,70,"Cranbourne Botanical Gardens, Royal Botanic Gardens"
Victoria,Geelong,Croajingolong,320,380,"Croajingolong National Park, local parks"
Victoria,Geelong,Curlewis,39,105,"Curlewis Golf Club, local parks, Bellarine Peninsula"
Victoria,Geelong,Dandenong North,210,240,"Dandenong Park, Dandenong Plaza"
Victoria,Geelong,Dandenong,110,130,"Dandenong Plaza, Dandenong Market"
Victoria,Geelong,Darley,75,110,"Werribee Gorge, Lerderderg River"
Victoria,Geelong,Deans Marsh,60,120,"Deans Marsh Reserve, rural scenery, local wildlife"
Victoria,Geelong,Deer Park,40,50,"Deer Park Shopping Centre, Brimbank Park"
Victoria,Geelong,Delacombe,80,130,"Delacombe Park, Ballarat Wildlife Park"
Victoria,Geelong,Diamond Creek,110,125,"Diamond Creek Reserve, The Plenty River Trail"
Victoria,Geelong,Diggers Rest,45,55,"Diggers Rest Reserve, Diggers Rest Hotel"
Victoria,Geelong,Docklands,80,90,"Docklands Stadium, Melbourne Star Observation Wheel"
Victoria,Geelong,Donald,200,250,"Donald Golf Club, Donald Historical Society"
Victoria,Geelong,Doncaster,150,180,"Westfield Doncaster, local parks"
Victoria,Geelong,Donvale,250,280,"Donvale Reserve, local trails"
Victoria,Geelong,Doreen,160,190,"Mernda Park, local parks"
Victoria,Geelong,Doveton,85,100,"Doveton Park, Dandenong Creek Trail"
Victoria,Geelong,Drouin,95,105,"Drouin Golf Club, Drouin Park"
Victoria,Geelong,Drumbo,28,95,"Drumbo Rail Station, local parks, rural views"
Victoria,Geelong,Drysdale,20,55,"Drysdale Railway Station, Bellarine Rail Trail"
Victoria,Geelong,East Geelong,10,65,"Eastern Beach, Geelong Botanic Gardens"
Victoria,Geelong,East Gippsland,330,390,"East Gippsland Rail Trail, local parks"
Victoria,Geelong,East Malvern,270,300,"East Malvern Village, local parks"
Victoria,Geelong,East Melbourne,75,80,"Fitzroy Gardens, local shops"
Victoria,Geelong,East Richmond,130,155,"Richmond Park, MCG"
Victoria,Geelong,Edithvale,230,260,"Edithvale Beach, local parks"
Victoria,Geelong,Elcho,80,100,"Elcho Park"
Victoria,Geelong,Elsternwick,75,85,"Elsternwick Park, Elwood Beach"
Victoria,Geelong,Eltham,170,200,"Eltham Park, local parks"
Victoria,Geelong,Elwood,270,300,"Elwood Beach, local parks"
Victoria,Geelong,Epping,150,180,"Epping Plaza, local parks"
Victoria,Geelong,Essendon North,75,80,"Essendon North Shopping Centre, local parks"
Victoria,Geelong,Essendon,65,75,"Essendon Fields, Windy Hill"
Victoria,Geelong,Exford,90,115,"Exford Park, Werribee River"
Victoria,Geelong,Fairfield,80,90,"Fairfield Park, Yarra River"
Victoria,Geelong,Ferntree Gully,75,85,"Ferntree Gully National Park, Puffing Billy Railway"
Victoria,Geelong,Findon,50,70,"Findon Creek, Westfield West Lakes"
Victoria,Geelong,Fishermans Beach,45,105,"Fishermans Beach, coastal walks, scenic views"
Victoria,Geelong,Fitzroy North,80,90,"North Fitzroy, local parks"
Victoria,Geelong,Fitzroy,130,155,"Fitzroy Gardens, Melbourne Museum"
Victoria,Geelong,Flinders,250,280,"Flinders Beach, local parks"
Victoria,Geelong,Footscray,60,70,"Footscray Park, Maribyrnong River"
Victoria,Geelong,Forest Hill,75,85,"Forest Hill Chase Shopping Centre, Vermont South"
Victoria,Geelong,Frankston North,105,125,"Frankston Power Centre, Long Island Beach"
Victoria,Geelong,Frankston South,220,250,"Frankston Beach, Ballam Park"
Victoria,Geelong,Frankston,100,120,"Frankston Beach, Botanic Gardens"
Victoria,Geelong,Freshwater Creek,21,81,"Freshwater Creek Reserve, scenic rural views"
Victoria,Geelong,Fyansford,18,65,"Fyansford Park, Barwon River"
Victoria,Geelong,Geelong City Centre,30,80,"National Wool Museum, Geelong Art Gallery, Eastern Beach"
Victoria,Geelong,Geelong North,24,84,"Geelong North Football Club, local parks"
Victoria,Geelong,Geelong West,10,35,"Westfield Geelong, Geelong Waterfront"
Victoria,Geelong,Geelong,23,83,"Geelong Waterfront, Eastern Beach, National Wool Museum"
Victoria,Geelong,Gladstone Park,80,90,"Gladstone Park Shopping Centre, local parks"
Victoria,Geelong,Glen Iris,120,140,"Malvern Road, local cafes"
Victoria,Geelong,Glen Waverley,100,115,"The Glen Shopping Centre, Jells Park"
Victoria,Geelong,Golden Square,170,190,"Golden Square Reserve, Bendigo Botanic Gardens"
Victoria,Geelong,Grantville,270,320,"Grantville Foreshore, local parks"
Victoria,Geelong,Greensborough North,85,95,"The Plenty Gorge Parklands, Barrowby Reserve"
Victoria,Geelong,Greensborough,140,170,"Greensborough Plaza, local parks"
Victoria,Geelong,Grovedale East,12,65,"Grovedale East Shopping Centre, local parks"
Victoria,Geelong,Grovedale,12,65,"Grovedale Library, local parks, local shops"
Victoria,Geelong,Haddon,95,120,"Haddon Recreation Reserve"
Victoria,Geelong,Hadfield,60,70,"Hadfield Park, Seaford Railway Station"
Victoria,Geelong,Hallam,105,120,"Hallam Valley Reserve, local parks"
Victoria,Geelong,Hamilton,250,280,"Hamilton Gallery, Botanical Gardens"
Victoria,Geelong,Hampton East,90,105,"Bastow Reserve, Hampton Secondary College"
Victoria,Geelong,Hampton,85,100,"Hampton Beach, Hampton Library"
Victoria,Geelong,Hastings,250,280,"Hastings Foreshore, local parks"
Victoria,Geelong,Hawthorn,260,290,"Hawthorn Park, local cafes"
Victoria,Geelong,Healesville,120,135,"Healesville Sanctuary, Yarra Valley"
Victoria,Geelong,Heathmont,85,105,"Heathmont Railway Station, Dorset Road"
Victoria,Geelong,Heidelberg Heights,100,115,"Heidelberg Heights Reserve, Darebin Creek"
Victoria,Geelong,Heidelberg West,105,120,"Heidelberg West Community Centre, Darebin Creek"
Victoria,Geelong,Heidelberg,140,160,"Heidelberg Park, local shops"
Victoria,Geelong,Herne Hill,15,60,"Herne Hill Reserve, local parks"
Victoria,Geelong,Highett,190,220,"Highett Shopping Centre, local parks"
Victoria,Geelong,Highpoint,70,85,"Highpoint Shopping Centre, Maribyrnong River"
Victoria,Geelong,Highton,18,70,"Highton Reserve, Barrabool Hills, local shops, Geelong Golf Club"
Victoria,Geelong,Hillside,50,70,"Sydenham Park, Watergardens"
Victoria,Geelong,Hopetoun Park,70,95,"Hopetoun Park Nature Reserve, Tarneit Gardens"
Victoria,Geelong,Hopetoun,65,80,"Hopetoun Winery, Mount Hope Bushland"
Victoria,Geelong,Hoppers Crossing,240,270,"Werribee Plaza, local parks"
Victoria,Geelong,Howitt,350,420,"Howitt Park, local shops"
Victoria,Geelong,Hughesdale,200,230,"Hughesdale Village, local parks"
Victoria,Geelong,Hurstbridge,100,120,"Hurstbridge Golf Club, Diamond Creek Trail"
Victoria,Geelong,Indented Head,40,115,"Indented Head Beach, local coastal walks"
Victoria,Geelong,Inglewood,100,120,"Inglewood Park"
Victoria,Geelong,Inverloch,250,290,"Inverloch Beach, local parks"
Victoria,Geelong,Invermay Park,95,115,"Invermay Park Lake, Ballarat Wildlife Park"
Victoria,Geelong,Jan Juc,20,55,"Jan Juc Beach, Surf Coast Walk"
Victoria,Geelong,Jell’s Park,90,110,"Jell’s Park"
Victoria,Geelong,Keilor Downs,50,60,"Keilor Downs Shopping Centre, Keilor Plains"
Victoria,Geelong,Keilor North,55,65,"Keilor North Reserve, Moonee Ponds Creek"
Victoria,Geelong,Keilor South,45,55,"Keilor South Park, Niddrie"
Victoria,Geelong,Keilor,45,55,"Keilor Park, Keilor Road"
Victoria,Geelong,Kensington,75,80,"Kensington Village, local parks"
Victoria,Geelong,Kew East,260,290,"Kew East Village, local parks"
Victoria,Geelong,Kew,260,290,"Kew Gardens, local shops"
Victoria,Geelong,Keysborough,115,130,"Keysborough Golf Club, local parks"
Victoria,Geelong,Kinglake West,110,125,"Kinglake West Road, Kinglake Ranges"
Victoria,Geelong,Kinglake,105,120,"Kinglake National Park, Kinglake Forest"
Victoria,Geelong,Kingsbury,95,110,"Kingsbury Reserve, Latrobe Golf Club"
Victoria,Geelong,Kingston,80,95,"Kingston Heath Golf Club, Southland Shopping Centre"
Victoria,Geelong,Koo Wee Rup,280,330,"Koo Wee Rup Regional Park, local shops"
Victoria,Geelong,Kooweerup,280,330,"Kooweerup Regional Park, local shops"
Victoria,Geelong,Kooyong,120,140,"Kooyong Tennis Club, local parks"
Victoria,Geelong,Kyabram,200,220,"Kyabram Fauna Park, Kyabram Cemetery"
Victoria,Geelong,Lake Tyers Beach,290,340,"Lake Tyers Beach, local parks"
Victoria,Geelong,Lakes Entrance,290,350,"Lakes Entrance Beach, local parks"
Victoria,Geelong,Lalor,30,45,"Lalor Plaza, Epping North"
Victoria,Geelong,Langwarrin South,280,330,"Langwarrin South Reserve, local parks"
Victoria,Geelong,Langwarrin,180,210,"Langwarrin Flora and Fauna Reserve, local parks"
Victoria,Geelong,Lara East,20,55,"Lara Lake, local parks, Serendip Sanctuary"
Victoria,Geelong,Lara West,21,52,"Lara Heritage Park, local shops, residential area"
Victoria,Geelong,Lara,20,50,"Lara Lake, Serendip Sanctuary"
Victoria,Geelong,Laverton,40,55,"Laverton Railway Station, Point Cook Coastal Park"
Victoria,Geelong,Leopold,25,80,"Leopold Nature Reserve, Bellarine Rail Trail, local shops"
Victoria,Geelong,Lethbridge,35,105,"Lethbridge Park, rural views, local farms"
Victoria,Geelong,Lindsey,340,400,"Lindsey Creek, local parks"
Victoria,Geelong,Little River,15,40,"Little River Railway Station, You Yangs"
Victoria,Geelong,Lorne,100,150,"Lorne Beach, Great Otway National Park"
Victoria,Geelong,Lovely Banks,23,83,"Lovely Banks Wetlands, rural views"
Victoria,Geelong,Lower Plenty,140,170,"Lower Plenty Park, local shops"
Victoria,Geelong,Lysterfield,180,210,"Lysterfield Lake, local parks"
Victoria,Geelong,Macedon,85,110,"Mount Macedon, Macedon Ranges"
Victoria,Geelong,Macleod,240,270,"Macleod Village, local parks"
Victoria,Geelong,Malmsbury,95,120,"Malmsbury Botanical Gardens"
Victoria,Geelong,Malvern East,120,135,"Malvern Valley Golf Course, local parks"
Victoria,Geelong,Malvern,130,150,"Malvern Central, local parks"
Victoria,Geelong,Manifold Heights,18,72,"Manifold Heights Park, local cafes, residential areas"
Victoria,Geelong,Mannerim,50,110,"Mannerim Beach, Bellarine Peninsula views, rural area"
Victoria,Geelong,Manor Lakes,55,75,"Manor Lakes Shopping Centre"
Victoria,Geelong,Mansfield,150,170,"Mansfield Zoo, Lake Eildon"
Victoria,Geelong,Maribyrnong,55,70,"Maribyrnong River, Highpoint Shopping Centre"
Victoria,Geelong,Marlo,310,370,"Marlo Beach, local parks"
Victoria,Geelong,Marshall,20,65,"Marshall Railway Station, local parks, residential area"
Victoria,Geelong,Mckinnon,70,85,"Mckinnon Reserve, Mckinnon Railway Station"
Victoria,Geelong,Melbourne Road,30,80,"Local parks, residential areas, scenic drive"
Victoria,Geelong,Melbourne,85,100,"Melbourne Zoo, Melbourne Museum"
Victoria,Geelong,Melton South,50,75,"Melton South Shopping Centre"
Victoria,Geelong,Melton,45,65,"Melton Botanical Gardens, Melton Reservoir"
Victoria,Geelong,Merri Creek,160,190,"Merri Creek Trail, local parks"
Victoria,Geelong,Metung,290,350,"Metung Village, local parks"
Victoria,Geelong,Mickelham,45,55,"Mickelham Railway Station, Craigieburn"
Victoria,Geelong,Middle Park,270,300,"Middle Park Beach, local parks"
Victoria,Geelong,Modewarre,25,85,"Modewarre Community Park, local shops, country views"
Victoria,Geelong,Mont Albert,260,290,"Mont Albert Reserve, local shops"
Victoria,Geelong,Montmorency,140,170,"Montmorency Village, local parks"
Victoria,Geelong,Monument Hill,34,94,"Monument Hill Lookout, scenic views, walking trails"
Victoria,Geelong,Moolap,24,84,"Moolap Saltworks, Eastern Park, Geelong Botanic Gardens"
Victoria,Geelong,Moonee Ponds,75,80,"Moonee Ponds Central, local parks"
Victoria,Geelong,Moorabbin,80,90,"Moorabbin Airport, local parks"
Victoria,Geelong,Moorabool,28,88,"Moorabool River, local walking tracks"
Victoria,Geelong,Mooroolbark,95,105,"Mooroolbark Park, Mooroolbark Railway Station"
Victoria,Geelong,Mordialloc,190,220,"Mordialloc Beach, local parks"
Victoria,Geelong,Moreland,85,95,"Moreland Station,
Victoria,Geelong,Mount Beauty,370,440,"Mount Beauty Village, local parks"
Victoria,Geelong,Mount Duneed,18,75,"Mt Duneed Estate Winery, local parks, residential area"
Victoria,Geelong,Mount Eliza,100,115,"Mount Eliza Regional Park, local parks"
Victoria,Geelong,Mount Macedon,130,145,"Mount Macedon Memorial Cross, Macedon Ranges"
Victoria,Geelong,Mount Martha,240,270,"Mount Martha Beach, local parks"
Victoria,Geelong,Mount Moriac,45,80,"Mount Moriac Conservation Reserve"
Victoria,Geelong,Murgheboluc,40,100,"Murgheboluc Dam, rural views, local parks"
Victoria,Geelong,Murrumbeena,200,230,"Murrumbeena Village, local parks"
Victoria,Geelong,Myrtleford,360,430,"Myrtleford Wetlands, local parks"
Victoria,Geelong,Narre Warren,110,130,"Westfield Fountain Gate, local parks"
Victoria,Geelong,Newcomb,10,30,"Newcomb Park, Bellarine Railway"
Victoria,Geelong,Newhaven,270,320,"Newhaven Beach, local parks"
Victoria,Geelong,Newport,220,250,"Newport Lakes, local parks"
Victoria,Geelong,Newstead,90,120,"Newstead Park"
Victoria,Geelong,Newtown,25,75,"Newtown Park, local cafes, local boutiques"
Victoria,Geelong,Nicholson,330,390,"Nicholson River, local parks"
Victoria,Geelong,Niddrie,75,80,"Niddrie Shopping Centre, local parks"
Victoria,Geelong,Norlane,10,30,"Corio Bay, Norlane Community Centre"
Victoria,Geelong,North Geelong,10,35,"North Geelong Station, Geelong Waterfront"
Victoria,Geelong,North Melbourne,70,75,"Queen Victoria Market, local parks"
Victoria,Geelong,North Shore,15,55,"North Shore Railway Station, local parks, residential areas"
Victoria,Geelong,North Warrandyte,105,120,"Yarra River Walk, Warrandyte State Park"
Victoria,Geelong,Northcote,130,160,"Northcote Golf Club, local parks"
Victoria,Geelong,Norwood,80,100,"Norwood Estate, Yarra River"
Victoria,Geelong,Notting Hill,80,90,"Monash University, Huntingdale Golf Club"
Victoria,Geelong,Oak Park,60,75,"Oak Park Reserve, Moonee Ponds Creek Trail"
Victoria,Geelong,Oakleigh South,200,230,"Oakleigh South Golf Club, local parks"
Victoria,Geelong,Oakleigh,200,230,"Oakleigh Shopping Centre, local parks"
Victoria,Geelong,Ocean Grove East,58,120,"Ocean Grove Beach, local shops, coastal views"
Victoria,Geelong,Ocean Grove,30,55,"Ocean Grove Beach, Bellarine Rail Trail"
Victoria,Geelong,Officer,70,85,"Officer Railway Station, Cardinia Reservoir"
Victoria,Geelong,Orbost,310,370,"Orbost Heritage Park, local parks"
Victoria,Geelong,Ormond,120,140,"Ormond Village, local parks"
Victoria,Geelong,O’Halloran Hill,110,130,"O’Halloran Hill Conservation Park"
Victoria,Geelong,Pakenham,90,110,"Cardinia Reservoir, Pakenham Racecourse"
Victoria,Geelong,Paradise Beach,270,330,"Paradise Beach, local parks"
Victoria,Geelong,Parkdale,190,220,"Parkdale Beach, local parks"
Victoria,Geelong,Parkville,75,85,"Melbourne Zoo, Royal Park"
Victoria,Geelong,Pascoe Vale South,75,90,"Bulla Road Shopping Centre, Penola Catholic College"
Victoria,Geelong,Pascoe Vale,70,85,"Pascoe Vale Reserve, Moonee Ponds Creek"
Victoria,Geelong,Paynesville,290,350,"Paynesville Foreshore, local parks"
Victoria,Geelong,Perisher,390,460,"Perisher Ski Resort, local parks"
Victoria,Geelong,Phillip Island,260,300,"Phillip Island Wildlife Park, Penguin Parade"
Victoria,Geelong,Plenty,80,110,"Plenty Gorge Park, local farms"
Victoria,Geelong,Point Cook,250,280,"Point Cook Coastal Park, Sanctuary Lakes"
Victoria,Geelong,Point Henry,20,80,"Point Henry Pier, industrial area, local parks"
Victoria,Geelong,Point Lonsdale,45,105,"Point Lonsdale Lighthouse, Queenscliff-Point Lonsdale Pier"
Victoria,Geelong,Port Melbourne,130,155,"Port Melbourne Beach, local parks"
Victoria,Geelong,Portarlington,30,55,"Portarlington Pier, Portarlington Golf Club"
Victoria,Geelong,Prahran,130,150,"Prahran Market, local parks"
Victoria,Geelong,Preston,230,260,"Preston Market, local parks"
Victoria,Geelong,Queenscliff South,60,125,"Queenscliff Lighthouse, local beaches, Fort Queenscliff"
Victoria,Geelong,Queenscliff,45,105,"Queenscliff Harbour, Queenscliff Historical Museum, local beaches"
Victoria,Geelong,Red Hill,250,280,"Red Hill Estate, local parks"
Victoria,Geelong,Research,240,270,"Research Park, local trails"
Victoria,Geelong,Reservoir,230,260,"Reservoir Lakes, local parks"
Victoria,Geelong,Richmond,230,260,"Melbourne Cricket Ground, Richmond Gardens"
Victoria,Geelong,Riddells Creek,85,110,"Riddells Creek Reserve, Mount Macedon"
Victoria,Geelong,Ringwood North,100,115,"Ringwood North Park, Olinda Creek"
Victoria,Geelong,Ringwood,90,105,"Ringwood Lake, Eastland Shopping Centre"
Victoria,Geelong,Rippleside,21,81,"Rippleside Park, local beaches, walking trails"
Victoria,Geelong,Ripplewood,25,85,"Ripplewood Reserve, local nature walks, quiet rural area"
Victoria,Geelong,Rockbank,60,70,"Rockbank Park, local shops"
Victoria,Geelong,Rosebud,100,120,"Rosebud Beach, Arthurs Seat"
Victoria,Geelong,Rowville,85,95,"Parkmore Shopping Centre, Koolunga Reserve"
Victoria,Geelong,Roxburgh Park,60,75,"Roxburgh Park Shopping Centre, Roxburgh Park Railway Station"
Victoria,Geelong,San Remo,260,300,"San Remo Beach, local parks"
Victoria,Geelong,Sandhurst,60,75,"Sandhurst Golf Club, Peninsula Link Reserve"
Victoria,Geelong,Sankt Leonards,50,110,"St Leonards Beach, local wineries, Bellarine Peninsula"
Victoria,Geelong,Seaford,100,115,"Seaford Beach, local parks"
Victoria,Geelong,Seddon,220,250,"Seddon Village, local parks"
Victoria,Geelong,Shelford,39,99,"Shelford Reserve, rural views, local community events"
Victoria,Geelong,Skye,105,120,"Skye Regional Park, local shops"
Victoria,Geelong,Somers,280,330,"Somers Beach, local parks"
Victoria,Geelong,Somerville,240,270,"Somerville Plaza, local parks"
Victoria,Geelong,Sorrento,75,145,"Sorrento Beach, local cafes, Sorrento Pier, coastal views"
Victoria,Geelong,South Barwon,10,55,"South Barwon Reserve, Barwon River"
Victoria,Geelong,South Geelong,18,65,"South Geelong Station, local parks, Geelong Gallery"
Victoria,Geelong,South Melbourne,130,155,"Crown Casino, South Melbourne Market"
Victoria,Geelong,South Yarra,130,150,"Chapel Street, local parks"
Victoria,Geelong,Southern Geelong,15,70,"Barwon River, Geelong Botanic Gardens"
Victoria,Geelong,Spotswood,220,250,"Spotswood Park, local shops"
Victoria,Geelong,Springvale South,210,240,"Springvale South Shopping Centre, local parks"
Victoria,Geelong,Springvale,115,130,"Springvale Shopping Centre, local parks"
Victoria,Geelong,St Albans Park,10,60,"St Albans Park Reserve, local shops, residential area"
Victoria,Geelong,St Albans,55,65,"St Albans Shopping Centre, local parks"
Victoria,Geelong,St Helena,80,110,"St Helena Park, local farms"
Victoria,Geelong,St Kilda East,130,150,"Rippon Lea Estate, local parks"
Victoria,Geelong,St Kilda West,90,100,"St Kilda Pier, St Kilda Road"
Victoria,Geelong,St Kilda,270,300,"St Kilda Beach, local parks"
Victoria,Geelong,St Leonards,35,105,"St Leonards Beach, local parks, Bellarine Peninsula wineries"
